FIPS_COUNTY,State,state,climate,POP,AGE_GR0,AGE_GR1,AGE_GR2,AGE_GR3,AGE_GR4,MALE,AFFGEOID,HISPANIC,ASIAN_ALL,BLACK_NH,BLACK_ALL,WHITE_NH,WHITE_ALL,POVERTY,EDU,POP_DENSITY,ATKINSON,CORRRATIO,cases_WAVE1,deaths_WAVE1,cases_rate_WAVE1,deaths_rate_WAVE1,cases_WAVE2,deaths_WAVE2,cases_rate_WAVE2,deaths_rate_WAVE2,cases_WAVE3,deaths_WAVE3,cases_rate_WAVE3,deaths_rate_WAVE3
47163,47,Tennessee,Central,156734,1.228195541,0.282931591,0.287716769,0.186692103,0.024583052,0.485216992,0500000US47163,0.018292138,0.005691171,0.01833042,0.019542665,0.935393724,0.945480878,0.16644405,0.865584456,146.3852856,0.75573554,0.040922296,70,2,44.66165605,1.276047316,1570,23,1001.697143,14.67454413,7675,133,4896.831575,84.8571465
47165,47,Tennessee,Central,179473,1.251124125,0.31345662,0.272976994,0.134482624,0.017495668,0.489271367,0500000US47165,0.046993141,0.012715004,0.070133112,0.070846311,0.847442234,0.876995425,0.094793215,0.899499743,130.8924075,0.743807811,0.114551979,1105,48,615.6914968,26.74497,2989,38,1665.431569,21.17310125,9582,92,5338.964635,51.26119249
47167,47,Tennessee,Central,61446,1.255346158,0.311785958,0.27326433,0.123978778,0.013849559,0.49213944,0500000US47167,0.027259708,0.007632718,0.180516226,0.180857989,0.759073007,0.780132149,0.139153395,0.868738359,51.75439917,0.595461787,0.123849874,520,3,846.271523,4.882335709,942,12,1533.053413,19.52934284,3293,33,5359.177164,53.7056928
47169,47,Tennessee,Central,9573,1.220829416,0.362791184,0.251854173,0.128799749,0.012326334,0.553849368,0500000US47169,0.00678993,0.001880288,0.095163481,0.095163481,0.844771754,0.851561684,0.158737071,0.801518603,32.32553571,0.264364913,0.067386171,1458,4,15230.33532,41.78418469,160,2,1671.367387,20.89209234,444,6,4638.0445,62.67627703
47171,47,Tennessee,Central,17780,1.217097863,0.276659168,0.292857143,0.21079865,0.021484814,0.500281215,0500000US47171,0.046344207,0.003937008,0.003655793,0.003655793,0.934420697,0.964904387,0.210559686,0.845844402,36.8953964,0.466835458,0.00431172,53,0,298.087739,0,172,1,967.3790776,5.624296963,1012,35,5691.788526,196.8503937
47173,47,Tennessee,Central,19293,1.251593842,0.289638729,0.294510963,0.160109884,0.014564868,0.495309179,0500000US47173,0.015705178,0.001710465,0.004457575,0.004457575,0.964183901,0.977090136,0.215578947,0.76232097,33.31807577,0.577196373,0.007512618,8,0,41.46581662,0,217,1,1124.760276,5.183227077,844,6,4374.643653,31.09936246
47175,47,Tennessee,Central,5704,1.238955119,0.260168303,0.30697756,0.202664797,0.01858345,0.505259467,0500000US47175,0.010168303,0,0.002279102,0.002279102,0.96002805,0.968267882,0.189998208,0.798681422,8.054876905,0.494640661,0.002225797,5,0,87.65778401,0,66,0,1157.082749,0,434,5,7608.695652,87.65778401
47177,47,Tennessee,Central,40454,1.252830375,0.305680526,0.265091215,0.154867257,0.016413704,0.496638157,0500000US47177,0.089286597,0.005957384,0.014065358,0.014905819,0.85531715,0.918104514,0.228862351,0.790988781,36.09968672,0.528247505,0.004532838,33,0,81.57413358,0,820,7,2026.993622,17.30360409,2879,20,7116.725169,49.43886884
47179,47,Tennessee,Central,127055,1.216945417,0.333627169,0.263972295,0.155121798,0.019818189,0.486804927,0500000US47179,0.033631105,0.015819921,0.040014167,0.042029043,0.888733226,0.913210814,0.157090754,0.886361279,150.253193,0.737205038,0.053569802,90,0,70.83546496,0,1651,13,1299.437252,10.23178938,7055,130,5552.713392,102.3178938
47181,47,Tennessee,Central,16649,1.208120608,0.325184696,0.281458346,0.171421707,0.016817827,0.55174485,0500000US47181,0.020121329,0.003844075,0.068232326,0.068232326,0.901015076,0.919634813,0.195665592,0.796900623,8.756484006,0.480640844,0.059682753,64,0,384.4074719,0,1215,3,7297.7356,18.01910025,959,13,5760.105712,78.08276773
