Time,POPDENSITY_CASE_Q_1,POPDENSITY_CASE_Q_2,POPDENSITY_CASE_Q_3,POPDENSITY_CASE_Q_4,POPDENSITY_CASE_Q_5,POPDENSITY_DEATH_Q_1,POPDENSITY_DEATH_Q_2,POPDENSITY_DEATH_Q_3,POPDENSITY_DEATH_Q_4,POPDENSITY_DEATH_Q_5,NH_WHITE_CASE_Q_1,NH_WHITE_CASE_Q_2,NH_WHITE_CASE_Q_3,NH_WHITE_CASE_Q_4,NH_WHITE_CASE_Q_5,NH_WHITE_DEATH_Q_1,NH_WHITE_DEATH_Q_2,NH_WHITE_DEATH_Q_3,NH_WHITE_DEATH_Q_4,NH_WHITE_DEATH_Q_5,BLACK_CASE_Q_1,BLACK_CASE_Q_2,BLACK_CASE_Q_3,BLACK_CASE_Q_4,BLACK_CASE_Q_5,BLACK_DEATH_Q_1,BLACK_DEATH_Q_2,BLACK_DEATH_Q_3,BLACK_DEATH_Q_4,BLACK_DEATH_Q_5,HISPANIC_CASE_Q_1,HISPANIC_CASE_Q_2,HISPANIC_CASE_Q_3,HISPANIC_CASE_Q_4,HISPANIC_CASE_Q_5,HISPANIC_DEATH_Q_1,HISPANIC_DEATH_Q_2,HISPANIC_DEATH_Q_3,HISPANIC_DEATH_Q_4,HISPANIC_DEATH_Q_5,ATKINSON_CASE_Q_1,ATKINSON_CASE_Q_2,ATKINSON_CASE_Q_3,ATKINSON_CASE_Q_4,ATKINSON_CASE_Q_5,ATKINSON_DEATH_Q_1,ATKINSON_DEATH_Q_2,ATKINSON_DEATH_Q_3,ATKINSON_DEATH_Q_4,ATKINSON_DEATH_Q_5,ETASQUARED_Q_1,ETASQUARED_Q_2,ETASQUARED_Q_3,ETASQUARED_Q_4,ETASQUARED_Q_5,ETASQUARED_Q_1,ETASQUARED_Q_2,ETASQUARED_Q_3,ETASQUARED_Q_4,ETASQUARED_Q_5
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0.001155125,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
44,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0.004124428,0,0,0,0,0,0,0.011671792,0,0,0,0,0,0,0,0,0,0,0,0.007841484,0,0,0,0,0,0,0,0,0,0,0.006418536,0,0,0,0,0,0,0,0,0,0.004209019,0,0,0,0,0,0,0,0,0,0.006098905,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0.005111783,0,0.000412443,0,0,0,0,0,0,0.002334358,0,0,0,0,0,0,0,0,0,0.003926503,0,0.000784148,0,0,0,0,0,0,0,0,0,0.001296478,0.000641854,0,0,0,0,0,0,0,0,0,0.000841804,0,0,0,0,0,0,0,0.002200192,0,0.000609891,0,0,0,0,0
52,0,0,0,0,0.001237328,0,0,0,0,0,0.002064457,0,0,0,0,0,0,0,0,0,0,0,0,0.002352445,0,0,0,0,0,0,0,0,0,0,0.001925561,0,0,0,0,0,0,0,0,0,0.001262706,0,0,0,0,0,0,0,0,0.001155125,0.001219781,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0.005361757,0,0,0,0,0,0.005505219,0.001167179,0.007750425,0,0,0,0,0,0,0,0,0,0.007233617,0.007057336,0,0,0,0,0,0,0,0,0,0.005185914,0.005776682,0,0,0,0,0,0,0,0,0,0.005471725,0,0,0,0,0,0,0,0.008800766,0.001155125,0.004879124,0,0,0,0,0
56,0,0,0,0,0.000824886,0,0,0,0,0,0,0.002334358,0,0,0,0,0,0,0,0,0,0,0.001808404,0.000784148,0,0,0,0,0,0,0,0,0,0,0.001283707,0,0,0,0,0,0,0,0,0,0.000841804,0,0,0,0,0,0,0,0,0.001155125,0.000609891,0,0,0,0,0
57,0,0,0,0,0.006186642,0,0,0,0,0,0.008945981,0.002334358,0,0,0,0,0,0,0,0,0,0,0.005425213,0.009409781,0,0,0,0,0,0,0,0,0,0,0.009627804,0,0,0,0,0,0,0,0,0,0.006313529,0,0,0,0,0,0,0,0.002200192,0.016171753,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0.002062214,0,0,0,0,0,0.001376305,0.003501538,0,0,0,0,0,0,0,0,0,0,0.005425213,0.001568297,0,0,0,0,0,0,0,0,0,0.002592957,0.001925561,0,0,0,0,0,0,0,0,0,0.00210451,0,0,0,0,0,0,0,0.006600575,0.001155125,0.000609891,0,0,0,0,0
60,0,0,0,0,0.002474657,0,0,0,0,0.000412443,0.002064457,0.003501538,0,0,0,0,0.001167179,0,0,0,0,0,0.001808404,0.002352445,0.001941251,0,0,0,0.000784148,0,0,0,0,0.003889435,0.001925561,0,0,0,0.001296478,0,0,0,0,0,0.002525411,0,0,0,0,0.000420902,0,0,0.002200192,0.003465376,0.001219781,0,0,0,0.001155125,0
61,0,0,0,0,0.006186642,0,0,0,0,0.000824886,0.004128914,0.010504613,0,0,0,0,0.002334358,0,0,0,0,0,0.007233617,0.007841484,0.000970626,0,0,0,0.001568297,0,0,0,0,0.009075349,0.005134829,0,0,0,0.002592957,0,0,0,0,0,0.006313529,0,0,0,0,0.000841804,0,0,0.008800766,0.009241002,0.001829672,0,0,0,0.00231025,0
62,0,0,0.010223566,0,0.0057742,0,0,0,0,0.001237328,0.004128914,0.010504613,0,0.004094885,0,0,0.003501538,0,0,0,0,0.003926503,0.01265883,0.003920742,0.002911877,0,0,0,0.002352445,0,0,0.00369983,0.002208202,0.009075349,0.004492975,0,0,0,0.003889435,0,0,0,0,0.004366586,0.005892627,0,0,0,0,0.001262706,0,0.004973886,0.011000958,0.006930751,0.002439562,0,0,0,0.003465376,0
63,0,0,0.005111783,0,0.008248856,0,0,0,0,0.001649771,0.006881524,0.011671792,0,0.004094885,0,0,0.004668717,0,0,0,0,0.003926503,0.01265883,0.007841484,0.002911877,0,0,0,0.003136594,0,0,0.00369983,0,0.012964784,0.006418536,0,0,0,0.005185914,0,0,0,0,0.002183293,0.008418038,0,0,0,0,0.001683608,0,0.004973886,0.015401341,0.010396127,0.002439562,0,0,0,0.004620501,0
64,0,0.008716751,0,0,0.016497713,0,0,0,0,0.000824886,0.017203809,0.018674867,0,0,0,0,0.002334358,0,0,0,0.00984287,0,0.01265883,0.014114672,0.014559384,0,0,0.001808404,0.000784148,0,0,0,0,0.018150698,0.017330047,0,0,0,0.001296478,0.000641854,0,0,0,0.002183293,0.016836077,0,0,0,0,0.000841804,0,0.004973886,0.015401341,0.012706377,0.013417592,0,0.004973886,0,0.001155125,0
65,0,0,0,0.002347443,0.027633669,0,0,0,0,0,0.022709028,0.036182556,0.007750425,0,0,0,0,0,0,0,0,0.003926503,0.030742873,0.024308601,0.018441886,0,0,0,0,0,0,0,0.004416405,0.038894352,0.02310673,0,0,0,0,0,0,0,0,0.004366586,0.027779526,0,0,0,0,0,0,0,0.041803641,0.025412755,0.016467045,0,0,0,0,0
66,0,0.008716751,0.005111783,0.014084659,0.032995426,0,0,0,0,0.001237328,0.033719466,0.037349735,0.009688032,0.00818977,0,0,0.002334358,0.001937606,0,0,0,0.01570601,0.023509256,0.026661047,0.035913147,0,0,0,0.002352445,0,0,0,0.015457417,0.022040133,0.041078631,0,0,0.002208202,0.001296478,0.000641854,0,0.008466699,0.014076179,0.004366586,0.034513957,0,0,0,0.002183293,0.000841804,0,0.019895544,0.024202108,0.019637129,0.03415387,0,0,0,0.00231025,0.000609891
67,0.018566723,0.008716751,0.010223566,0.014084659,0.044131382,0,0,0,0,0.001649771,0.047482513,0.042018452,0.011625638,0.020474426,0.006918453,0,0.004668717,0,0,0,0,0.031412021,0.03797649,0.031365937,0.046590028,0,0,0,0.003136594,0,0,0.014799321,0.011041012,0.044080265,0.047497167,0,0,0,0.005185914,0,0,0,0.00469206,0.008733171,0.047141014,0,0,0,0,0.001683608,0,0.024869431,0.048404215,0.033498631,0.037203323,0,0,0,0.004620501,0
68,0,0.008716751,0.005111783,0.011737216,0.053617567,0,0.008716751,0,0,0.000824886,0.043353599,0.075866649,0.013563245,0.00818977,0,0,0.003501538,0,0,0,0.00984287,0,0.048826915,0.043128163,0.052413782,0.00984287,0,0,0.001568297,0,0,0.00369983,0.028706632,0.062230963,0.04813902,0,0,0,0.002592957,0.000641854,0,0.008466699,0.014076179,0.013099757,0.053454543,0,0,0,0.002183293,0.000841804,0,0.019895544,0.05500479,0.047360134,0.040862666,0,0.004973886,0,0.00231025,0
69,0,0,0.010223566,0.023474431,0.098986277,0,0,0,0,0.001649771,0.108728073,0.092207158,0.019376064,0.016379541,0.006918453,0.000688152,0.003501538,0,0,0,0.019685741,0.01570601,0.057868937,0.092529514,0.093180057,0,0,0.001808404,0.002352445,0,0,0.00369983,0.028706632,0.090753488,0.107831405,0,0,0,0.003889435,0.000641854,0,0.008466699,0.00469206,0.021832928,0.101016459,0,0,0,0,0.001683608,0,0.009947772,0.046204024,0.080858765,0.096972596,0,0,0.002200192,0.003465376,0
70,0.037133446,0.017433503,0.025558916,0.021126988,0.124557732,0,0,0.005111783,0,0.001649771,0.08739535,0.194918928,0.031001702,0.040948852,0,0.001376305,0.002334358,0,0.004094885,0,0.00984287,0.043191529,0.05063532,0.126247897,0.115504445,0,0.003926503,0,0.003136594,0,0.006160131,0.022198982,0.055205062,0.191878802,0.089859504,0,0.00369983,0,0.002592957,0.001283707,0.020132164,0.033866795,0.028152358,0.021832928,0.125849672,0,0.008466699,0,0,0.001683608,0.018559625,0.039791089,0.06820594,0.150166279,0.091483581,0,0.004973886,0,0.003465376,0.000609891
71,0.074266893,0.122034518,0.025558916,0.028169318,0.144354988,0,0,0,0,0.0028871,0.164468414,0.1178851,0.067816223,0.040948852,0,0.001376305,0.005835896,0,0,0,0.049214352,0.043191529,0.090420213,0.090961218,0.197036995,0,0,0.001808404,0.003920742,0.000970626,0,0.025898812,0.039747645,0.136130231,0.163672669,0,0,0,0.006482392,0.001283707,0,0.101600384,0.037536477,0.045849148,0.144790258,0,0,0,0,0.002946313,0.018559625,0.084556064,0.072606323,0.093565143,0.154302307,0,0,0.002200192,0.004620501,0.001219781
72,0.037133446,0.026150254,0.102235664,0.028169318,0.279636234,0,0,0,0,0.002474657,0.334442048,0.210092258,0.071691435,0.036853967,0.020755358,0.001376305,0.004668717,0,0,0,0.068900093,0.07460355,0.155522767,0.138794272,0.413486501,0,0,0.003616809,0.001568297,0.001941251,0.012320261,0.022198982,0.059621467,0.184099932,0.345317239,0,0,0,0.003889435,0.001925561,0.020132164,0.033866795,0.028152358,0.054582319,0.285792399,0,0,0,0,0.002525411,0.018559625,0.074608292,0.167214562,0.124753524,0.314093629,0,0,0.004400383,0.00231025,0.001219781
